"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Ocenebra","interfossa","Muricidae","M","UMUT",1.722,2.791,-0.334,0.256,-0.799,0.0864985480190303,5.582,0.481038683167507,0.179147259046937,0.176339902284725,0.490521696441492
"Phyllonotus","erthrostomus","Muricidae","M","SPMN",1.801,1.255,-0.032,0.293,-0.879,0.0936375480636454,2.51,0.234006600754526,0.398406374501992,0.370114070079607,0.25299645604801
"Pterynotus","elongatus","Muricidae","M","SPMN",1.294,5.876,0.269,0.085,-1.055,0.0410203079295147,11.752,0.481665588042758,0.0850918992511913,0.0847855025944493,0.483812758953913
"Rapa","bubiformis","Muricidae","M","UMUT",2.129,1.003,-0.128,0.05,-0.098,0.120265812476975,2.006,0.239527194095933,0.498504486540379,0.446142532967416,0.269568139305289
"Rapa","rapa","Muricidae","M","SPMN",2.158,0.912,-0.069,0.065,-0.671,0.122419096243592,1.824,0.221637827190909,0.548245614035088,0.480737230095617,0.254648669958937
"Rapana","venosa","Muricidae","M","SUM",2.238,1.488,-0.2,0.296,-0.248,0.128212454432821,2.976,0.378462280487181,0.336021505376344,0.318520187376424,0.402525364212789
"Siratus","alabaster","Muricidae","M","SPMN",1.714,2.497,0.017,0.227,-0.47,0.0857574293662619,4.994,0.426706405278683,0.200240288346015,0.196342679149257,0.436774264962892
"Tais","armigera","Muricidae","M","SPMN",1.716,1.684,-0.088,0.327,-0.293,0.0859430328194738,3.368,0.288393029002649,0.296912114014252,0.284630985380921,0.301945456516115
"Thais","bronni","Muricidae","M","UMUT",1.907,1.551,-0.065,0.374,-0.601,0.102739501551968,3.102,0.317029140436545,0.322372662798195,0.306823480829071,0.334848888599904
"Thais","clavigera","Muricidae","M","SUM",1.962,1.651,-0.15,0.286,-0.704,0.107264759543707,3.302,0.352168055267178,0.302846759539673,0.289846500780535,0.370074364378563
"Thais","haemastoma","Muricidae","M","SPMN",2.05,1.801,0.149,0.254,-0.623,0.114247751427937,3.602,0.408860714234521,0.277623542476402,0.267505892387093,0.42708499019758
"Thais","kiosquiformis","Muricidae","M","UMUT",1.732,1.846,-0.004,0.45,-0.865,0.0874201194595682,3.692,0.321528813281781,0.270855904658722,0.261435773150682,0.334384688086211
"Trophon","geversianus","Muricidae","M","UMUT",2.261,1.417,-0.036,0.174,-0.477,0.129839747422957,2.834,0.364902867480104,0.352858151023289,0.332750495185971,0.390201515253617
"Urosalpinx","cinerea","Muricidae","M","UMUT",1.777,2.25,-0.016,0.288,-0.546,0.0915024022155713,4.5,0.410047786726899,0.222222222222222,0.216930457818656,0.421805232587777
"Vexilla","vexillum","Muricidae","M","UMUT",2.083,1.705,-0.102,0.103,0.226,0.116789355462799,3.41,0.395563146966414,0.293255131964809,0.281404471344897,0.415023097908275
"Columbarium","harrisium","Turbinellidae","M","SPMN",1.419,2.529,0.363,0.215,-0.682,0.0556966540168769,5.058,0.281277735579747,0.197706603400554,0.193952343278405,0.287166698145679
"Columbarium","pagoda pagoda","Turbinellidae","M","UMUT",1.475,2.296,0.122,0.201,-0.395,0.0618568402475217,4.592,0.283504745586754,0.217770034843206,0.212782988473502,0.290703879531351
"Vasum","ceramicum","Turbinellidae","M","UMUT",1.522,1.961,-0.206,0.397,0.11,0.0668490962632513,3.922,0.261598291668821,0.254971953085161,0.247067389068268,0.270570294668796
"Vasum","turbinellum","Turbinellidae","M","UMUT",1.753,1.477,-0.127,0.362,-0.932,0.08933822233409,2.954,0.262858216017902,0.3385240352065,0.320649286245101,0.278616626221961
"Amphissa","columbiana","Columbellidae","M","UMUT",1.554,2.581,-0.158,0.296,-0.447,0.0701606319714511,5.162,0.361281068224937,0.193723363037582,0.190187483337365,0.368902467924224
"Colubraria","cumingii","Columbellidae","M","SPMN",1.301,3.536,-0.083,0.137,-1.138,0.0418789493968441,7.072,0.295908554733707,0.141402714932127,0.140009912604683,0.299114174259139
"Parametaria","philippinarum","Columbellidae","M","UMUT",1.6,1.802,-0.317,0.075,-0.19,0.0748034008655893,3.604,0.268840351315535,0.277469478357381,0.267368057690652,0.279776879525892
"Pyrene","splendidula","Columbellidae","M","UMUT",1.374,2.591,-0.087,-0.138,-0.252,0.0505676942930686,5.182,0.26170740054581,0.192975685063682,0.189479854992797,0.266876361579393
"Strombina","lanceolata","Columbellidae","M","UMUT",1.448,3.092,0.097,0.195,-0.759,0.0589165010843351,6.184,0.363708944646725,0.161707632600259,0.159633939011279,0.369072525862889
"Bullia","gradata","Nassariidae","M","SPMN",1.64,2.687,-0.196,0.177,-0.114,0.0787333522172001,5.374,0.421807674262427,0.186081131373279,0.182940812912609,0.430376092484137
"Nassarius","arcularia","Nassariidae","M","UMUT",1.739,1.592,-0.23,0.308,-1.457,0.0880620590228171,3.184,0.279308678390983,0.314070351758794,0.299639594502485,0.293893265905106
"Zeuxis","margritifera","Nassariidae","M","UMUT",1.438,3.07,0.069,0.279,-0.817,0.0578135518116547,6.14,0.354383455349975,0.162866449511401,0.160748438133566,0.359652339288157
"Balylonia","japonica","Buccinidae","M","UMUT",1.836,2.094,0.083,0.431,0.02,0.0967008392230652,4.188,0.403102782606045,0.238777459407832,0.232248446951815,0.416368076911738
"Balylonia","japonica","Buccinidae","M","UMUT",1.849,2.099,0.086,0.545,-0.478,0.0978237824217365,4.198,0.408713305417104,0.238208670795617,0.23172495137885,0.422154721965194
"Balylonia","japonica","Buccinidae","M","UMUT",1.827,2.089,0.158,0.567,-0.246,0.0959187494768319,4.178,0.398917634729594,0.239348970799426,0.232774245285714,0.412067706885263
"Buccinum","osagawai","Buccinidae","M","SPMN",1.69,2.534,-0.048,0.359,-0.428,0.083513139161341,5.068,0.421776317177537,0.197316495659037,0.193583998547375,0.431405177018819
"Cominella","lineolata","Buccinidae","M","UMUT",1.622,2.345,-0.253,0.397,-0.288,0.0769768727241832,4.69,0.3599566576133,0.213219616204691,0.208532094701598,0.369136812414101
"Fusinus","dupetitthouarsi","Buccinidae","M","SPMN",1.38,3.878,-0.446,0.097,0.602,0.0512611809810987,7.756,0.397060382439484,0.128932439401753,0.12787395909568,0.40087271359717
"Japelion","pericochlion","Buccinidae","M","SUM",1.484,3.981,-0.1,0.262,0.317,0.0628250044279501,7.962,0.499228432890371,0.125596583772921,0.124617539841429,0.50414255094341
"Kelletia","lischkei","Buccinidae","M","UMUT",1.609,2.196,-0.359,0.308,-0.119,0.0756961389419439,4.392,0.331509041123787,0.227686703096539,0.222004906298706,0.340966063335984
"Neptunea","antiqua","Buccinidae","M","UMUT",1.71,2.01,-0.154,0.287,-0.076,0.0853855718534253,4.02,0.342005533817213,0.248756218905473,0.241399461295494,0.353710697593089
"Neptunea","constricta","Buccinidae","M","SUM",1.622,2.488,-0.102,0.189,-0.787,0.0769768727241832,4.976,0.381907106243877,0.20096463022508,0.197025398803655,0.390695175300187
"Neptunea","lyrata decemcostata","Buccinidae","M","UMUT",2.069,1.658,-0.018,0.216,-0.449,0.115716052164276,3.316,0.381170936694511,0.301568154402895,0.288724992081514,0.400782943416297
"Northia","northiae","Buccinidae","M","SPMN",1.489,3.298,-0.401,0.199,-0.491,0.0633603394200345,6.596,0.417088429829719,0.151607034566404,0.149894185073394,0.422700449580553
"Penion","maxima","Buccinidae","M","SPMN",1.606,2.004,-0.177,0.209,-0.647,0.075399115633791,4.008,0.301344294255054,0.249500998003992,0.242079918435532,0.311463735286537
"Pleuroploca","princeps","Buccinidae","M","SPMN",1.592,2.571,-0.07,0.168,-0.241,0.0740056300569174,5.142,0.379499142021946,0.194476857253987,0.190900316606448,0.387666355784439
"Siphonalia","fusoides","Buccinidae","M","SPMN",1.709,2.35,0.165,0.189,-0.719,0.0852924715623283,4.7,0.399424381721707,0.212765957446809,0.208107644464859,0.409847854371976
"Solenosteria","fusiformis","Buccinidae","M","UMUT",1.614,2.015,-0.035,0.419,-0.109,0.076189949276324,4.03,0.306158171363324,0.248138957816377,0.240835239208937,0.316357147428185
"Volutharpa","ampullacea perryi","Buccinidae","M","UMUT",2.482,1.404,-0.29,0.348,-0.923,0.144682138491707,2.808,0.402080877029611,0.356125356125356,0.33548615929138,0.431261125041067
"Busycom","spiratum","Melongenidae","M","SPMN",2.254,0.969,-0.025,0.072,-0.286,0.129346243328035,1.938,0.248602033740772,0.515995872033024,0.45854947412063,0.282076963616816
"Hemifusus","tuba","Melongenidae","M","UMUT",1.739,2.076,-0.171,0.187,-0.262,0.0880620590228171,4.152,0.364224130866634,0.240847784200385,0.23415220407282,0.376088960475599
"Melongena","melongena","Melongenidae","M","SPMN",1.86,1.682,-0.03,0.125,-0.079,0.0987678155880582,3.364,0.330646105834779,0.297265160523187,0.284941964998453,0.346624322565454
"Melongena","patula","Melongenidae","M","UMUT",2.316,1.033,-0.25,0.207,-0.133,0.133664935641973,2.066,0.273717421215275,0.484027105517909,0.435674802518306,0.306799784769183
"Pugilina","cochlidium","Melongenidae","M","SPMN",1.835,1.324,-0.02,0.127,0.045,0.0966141299084215,2.648,0.254648495073304,0.377643504531722,0.35329064006393,0.273469260014753
"Fasciolaria","tulipa","Fasciolariidae","M","SPMN",1.87,2.242,-0.133,0.064,-0.164,0.0996211953435873,4.484,0.444501185577102,0.223015165031222,0.217667905990182,0.45767516754666
"Fusinus","forceps","Fasciolariidae","M","UMUT",1.392,3.338,0.151,0.196,-0.525,0.0526391544642652,6.676,0.350933134631726,0.149790293588975,0.148137620794009,0.355339542933944
"Fusinus","nicobaricus","Fasciolariidae","M","UMUT",1.422,2.935,0.09,0.3,-0.575,0.0560327786256371,5.87,0.328397284621495,0.170357751277683,0.167938248233443,0.333651084342315
"Fusinus","nicobaricus","Fasciolariidae","M","SPMN",1.398,3.198,-0.117,0.137,-0.376,0.0533236929091963,6.396,0.34057448604271,0.156347717323327,0.154471123154536,0.345201690906658
"Latirus","nodatus","Fasciolariidae","M","UMUT",1.473,2.789,-0.134,0.104,-0.359,0.0616408904951342,5.578,0.343181529157249,0.179275726066691,0.176462419862921,0.34931454834983
"Opeatostoma","pseudodon","Fasciolariidae","M","UMUT",1.735,1.896,-0.143,0.184,-0.55,0.0876955535227021,3.792,0.331270160405347,0.263713080168776,0.254995328324383,0.343910432002673
"Peristernia","incarnata","Fasciolariidae","M","UMUT",1.335,3.297,-0.465,0.503,-0.709,0.0459848433122067,6.594,0.302903964686018,0.151653017895056,0.149938626937088,0.306691105898291
