"genus","species","family","habitat","repo","W","Traup","D","Delta","Gamma","expansion","T.centerline","tan.lead","tan.beta","sin.beta","cot.spiral"
"Reymondia","tanganyicensis","Paludomidae","F","NHMIC",1.47611,3.290996,-0.07032,0.286841,-0.037517,0.0619765660423331,6.581992,0.407148064179185,0.151929689370634,0.150206004566938,0.412610442711788
"Spekia","zonata","Paludomidae","F","NHMIC",7.392196,1.250839,-0.833961,0.890482,1.480136,0.318377503024391,2.501678,0.758941492630409,0.399731700082904,0.371175896365083,0.857753712302589
"Stanleya","neritinoides","Paludomidae","F","NHMIC",2.61207,1.741156,-0.015196,0.29842,0.240625,0.152811506187062,3.482312,0.526031014916327,0.287165538297545,0.276010485117864,0.55364384480469
"Syrnolopsis","gracilis","Paludomidae","F","NHMIC",1.309869,4.785953,-0.113025,0.561784,-0.02029,0.042960237366275,9.571906,0.410832416112243,0.104472400794575,0.103906894665514,0.413449343323829
"Tanganyicia","rufofilosa","Paludomidae","F","NHMIC",2.084682,1.745506,0.044124,0.277822,-0.088189,0.116917819500514,3.491012,0.405400051934605,0.286449889029313,0.275374856256749,0.424576960619469
"Tiphobia","horei","Paludomidae","F","NHMIC",1.818696,1.208336,-0.024899,0.226108,0.156512,0.0951937164883211,2.416672,0.229016672750746,0.413792190251718,0.382351072275838,0.248969398520859
"Paludomus","petrosa","Paludomidae","F","NHMIC",2.313977,1.872432,-0.014671,0.408959,0.073984,0.133525854834287,3.744864,0.495637290507308,0.267032394233809,0.25799252341042,0.517557071302686
"Elimia","floridensis","Pleuroceridae","F","NHMIC",1.483713,3.782416,-0.007129,0.304722,0.118625,0.0627942214857925,7.564832,0.474093952398901,0.132190642171564,0.131050588070548,0.479160165629999
"Io","fluvialis","Pleuroceridae","F","NHMIC",1.7169,1.803609,-0.009152,0.111605,-0.173536,0.0860264838096363,3.607218,0.309174358630744,0.277221947772494,0.267146568104157,0.322019797671875
"Lithasia","armigera","Pleuroceridae","F","NHMIC",1.533238,3.032124,-0.121684,0.344563,-0.125521,0.0680199322615336,6.064248,0.411538801248075,0.164900907746517,0.162703601678063,0.418060396696828
"Melanoides","polymorpha","Thiaridae","F","NHMIC",1.41795,4.459957,-0.059572,0.450503,0.011943,0.0555788424954351,8.919914,0.49499456375389,0.112108704187058,0.111410764940239,0.498864203340206
"Melanoides","tuberculata","Thiaridae","F","NHMIC",1.280651,6.303679,-0.148481,0.259934,-0.03037,0.0393699262870538,12.607358,0.495966532108115,0.0793187597274544,0.0790704153267939,0.497909693838586
"Stenomelania","hastula","Thiaridae","F","NHMIC",1.251242,8.742946,-0.278206,0.346393,0.321751,0.035672457052054,17.485892,0.623368231907692,0.0571889612494461,0.0570956695665071,0.624783934103819
"Stenomelania","sp.","Thiaridae","F","NHMIC",1.24597,9.150219,-0.224459,0.197396,0.515368,0.0350004547498491,18.300438,0.640131681285519,0.0546435008823286,0.0545621027750809,0.641479213037848
"Stenomelania","sp.","Thiaridae","F","NHMIC",1.281974,6.914552,-0.446795,0.276518,0.110281,0.0395342593505475,13.829104,0.546296631552526,0.072311264706665,0.0721229480320825,0.548150906601343
"Stenomelania","crenulata","Thiaridae","F","NHMIC",1.336203,5.372198,-0.220945,0.217009,-0.063649,0.046128197006766,10.744396,0.495093163075539,0.0930717743463662,0.0926712641142581,0.497761603315271
"Gen.","Gen. et sp. indet.","Thiaridae","F","NHMIC",1.551364,3.016119,-0.131486,0.218948,-0.007042,0.0698904333533468,6.032238,0.420569806286967,0.165775952474024,0.163543953124202,0.427349541320363
"Lanistes","nsendweensis","Ampullariidae","F","NHMIC",2.124241,1.477435,0.018998,0.246119,0.255251,0.119909651756121,2.95487,0.351797330958306,0.338424363846802,0.320564580589635,0.374057706361583
"Lanistes","nsendweensis","Ampullariidae","F","NHMIC",2.364828,1.04097,0.103285,0.390211,0.073807,0.136985501771357,2.08194,0.282556823865894,0.480321238844539,0.432966397383544,0.316388298489613
"Asolene","pulchella","Ampullariidae","F","NHMIC",1.982591,1.41543,0.016423,0.232337,-0.130661,0.108926371203904,2.83086,0.306542115582737,0.353249542541842,0.333078656250971,0.327028973966526
"Asolene","sp.","Ampullariidae","F","NHMIC",1.589191,3.210297,-0.031625,0.085487,0.032777,0.0737245615191674,6.420594,0.472074280650576,0.155748829469672,0.153893463210019,0.479062333002117
"Marisa","cornuarietis","Ampullariidae","F","NHMIC",2.02829,0.114979,0.338933,-0.217076,-0.551482,0.112553273373176,0.229958,0.0257201240118144,4.34862018281599,0.974564127134494,0.115490884837015
"Pomacea","linnaei","Ampullariidae","F","NHMIC",2.015003,1.204393,0.030435,0.106213,-0.234188,0.111507245127835,2.408786,0.266942653286562,0.415146883118716,0.383419066543485,0.290823422353694
"Gen.","Gen. et sp. indet.","Ampullariidae","F","NHMIC",2.23104,1.136151,0.008932,0.244073,-0.024339,0.127716724119605,2.272302,0.287872638390408,0.440082348208997,0.402801760312779,0.317070918509472
"Neothauma","tanganyicense","Viviparidae","F","NHMIC",1.670009,1.842239,0.027916,0.432546,-0.100179,0.0816192727993724,3.684478,0.29972772322683,0.271408867144817,0.261932920165526,0.311603721852884
"Neothauma","tanganyicense","Viviparidae","F","NHMIC",2.165899,1.407647,0.027738,0.399185,-0.181637,0.123000592848389,2.815294,0.343692702365927,0.355202689310601,0.334714456834206,0.367479176166312
"Neothauma","tanganyicense","Viviparidae","F","NHMIC",1.735545,1.907345,0.022365,0.361193,0.002083,0.0877455395881172,3.81469,0.333440866446702,0.262144499290899,0.253576401123807,0.346031961961933
"Callinina","georgiana","Viviparidae","F","NHMIC",2.1762,1.402208,-0.214575,0.592877,0.021657,0.123755738295075,2.804416,0.344435000811725,0.356580478787741,0.335866567487147,0.368466975504522
"Viviparus","contectus","Viviparidae","F","NHMIC",2.027495,1.685218,0.022717,0.440094,-0.010105,0.112490879443824,3.370436,0.376766961949412,0.296697519252702,0.284441916509895,0.395479262775642
"Bellamya","capillata","Viviparidae","F","NHMIC",1.979806,1.710375,0.05018,0.50021,0.142705,0.108702644712339,3.42075,0.369666944580021,0.292333552583498,0.280589859256072,0.387407602685792
"Bellamya","pagodiformis","Viviparidae","F","NHMIC",1.710589,2.287665,-0.010864,0.542189,0.166334,0.0854403824503182,4.57533,0.38949884792414,0.218563469738795,0.213522968622734,0.40014609670063
"Bellamya","unicolor","Viviparidae","F","NHMIC",1.760689,1.918008,-0.002725,0.444715,0.101033,0.0900347804590675,3.836016,0.343983462478617,0.260687129563589,0.252256606006582,0.356917433736971
"Neothauma","tanganyicense","Viviparidae","F","NHMIC",1.926842,1.9652,0.000219,0.43325,0.129071,0.104386924986339,3.9304,0.408065126351058,0.254427030327702,0.246571494984725,0.423353579426549
"Rissoa","splendida","Rissoidae","M","NHMIC",1.497939,2.690895,-0.03922,0.366881,0.38627,0.0643129469447423,5.38179,0.3454051871327,0.185811783811706,0.182684854509355,0.352043124305354
"Amnicola","limosus","Amnicolidae","F","NHMIC",1.949513,1.625838,0.120491,0.266999,-0.015072,0.10624859289634,3.251676,0.343552301168028,0.307533714921167,0.293947369528501,0.361454477605176
"Korotnewia","korotnevi","Amnicolidae","F","NHMIC",1.524219,2.830255,0.067796,0.317067,-0.158255,0.0670809672358817,5.66051,0.37886103255103,0.176662526874787,0.173968634292754,0.385592308111116
"Liobaicalia","stiedae","Amnicolidae","F","NHMIC",1.394939,5.522903,0.090955,0.435331,-0.049232,0.0529748321028103,11.045806,0.58433037995524,0.0905320987893505,0.0901633605999756,0.587542786230449
"Maackia","angarensis","Amnicolidae","F","NHMIC",1.459796,3.48098,-0.008657,0.411433,0.066921,0.0602077897492519,6.96196,0.418406552673904,0.143637711219254,0.142178500692654,0.423466202385988
"Bithynia","leachii","Bithyniidae","F","NHMIC",2.045192,1.579675,0.135275,0.214774,-0.270775,0.11387403643827,3.15935,0.357457771651051,0.316520803329799,0.301765312580719,0.377359595986731
"Bithynia","rubens","Bithyniidae","F","NHMIC",1.425545,2.182143,0.058977,0.4933,-0.057062,0.0564290530056658,4.364286,0.245881364770592,0.229132554557607,0.223344564883206,0.252654695381437
"Bithynia","sp.","Bithyniidae","F","NHMIC",1.573991,2.230456,-0.03733,0.314253,0.042208,0.0721949791206057,4.460912,0.321219420370772,0.224169407511289,0.21874070182566,0.330048219275379
"Bithynia","sp.","Bithyniidae","F","NHMIC",1.612135,2.763647,-0.034551,0.394088,0.089868,0.0760059371367629,5.527294,0.418898933595332,0.18092035632626,0.178030159310624,0.426927310693178
"Bithynia","tentaculata","Bithyniidae","F","NHMIC",1.766956,2.230764,0.016465,0.467245,0.107623,0.0906002710782651,4.461528,0.402566806373853,0.224138456600519,0.218711945227521,0.414244731736145
"Wattebledia","crosseana","Bithyniidae","F","NHMIC",1.566341,2.859756,-0.019776,0.256557,0.030779,0.0714195593732156,5.719512,0.407447204735335,0.17484009125254,0.17222749109543,0.414681529173776
"Heleobia","isabelleana","Cochliopidae","F","NHMIC",1.368941,4.342658,0.08177,0.21322,-0.062225,0.0499806122011963,8.685316,0.433556223533982,0.115136858578318,0.114381207631874,0.436965243119785
"Emmericia","expansilabris","Emmericiidae","F","NHMIC",1.582428,2.438814,0.008086,0.279702,0.081937,0.0730458125827317,4.877628,0.355343560263499,0.205017684825493,0.200840245967858,0.363701071121084
"Caspiohydrobia","oviformis","Hydrobiidae","F","NHMIC",1.731414,2.180082,0.021888,-0.040178,-0.155795,0.0873662623130984,4.360164,0.379485703545698,0.229349171269705,0.223545163070653,0.390821528468884
"Laevicaspia","caspia","Hydrobiidae","F","NHMIC",1.32937,4.974744,-0.062567,-0.031579,-0.124077,0.0453122312776621,9.949488,0.450371387547115,0.10050768441552,0.100003844490618,0.453104893201511
"Laevicaspia","conus","Hydrobiidae","F","NHMIC",1.400382,3.486863,0.020438,0.339444,-0.350518,0.0535946403109491,6.973726,0.37321870695949,0.143395367125121,0.141943455697289,0.377577395503503
"Turricaspia","basalis","Hydrobiidae","F","NHMIC",1.236337,5.980014,-0.164793,0.335333,-0.013157,0.0337651947574252,11.960028,0.403602668906449,0.0836118443869864,0.0833211051917939,0.405241801338356
"Turricaspia","dimidiata","Hydrobiidae","F","NHMIC",1.258551,5.565395,-0.010383,0.209622,-0.007575,0.0365994392912814,11.13079,0.407108099609344,0.0898408828124509,0.0894804928432517,0.409021431692322
"Turricaspia","eulimellula","Hydrobiidae","F","NHMIC",1.190913,7.496161,0.095304,0.598952,0.037281,0.0278075898297078,14.992322,0.416739247583802,0.0667008085872222,0.0665529259742161,0.417826705928466
"Turricaspia","lyrata","Hydrobiidae","F","NHMIC",1.284662,5.385903,0.042098,0.119876,-0.188643,0.0398676207180642,10.771806,0.429105395564203,0.0928349433697562,0.0924374697644916,0.431292860131691
"Fluviocingula","elegantula","Iravadiidae","F","NHMIC",1.794614,2.661448,-0.064706,0.219183,-0.139088,0.0930722123322534,5.322896,0.493281802454122,0.187867657004758,0.184637587406168,0.504080526829632
"Rehderiella","parva","Iravadiidae","F","NHMIC",1.595691,2.658618,0.007073,0.148973,-0.176971,0.0743741985019029,5.317236,0.394375920541357,0.188067635139761,0.184827416668126,0.402398084887202
"Wakauraia","sakaguchii","Iravadiidae","F","NHMIC",1.485468,3.405396,0.019959,0.265673,-0.133839,0.0629823655953326,6.810792,0.428111520370549,0.146825802344279,0.145268317729066,0.433558855639799
"Benedictia","limnaeoides","Lithoglyphidae","F","NHMIC",2.12555,1.695009,-0.118694,0.364148,-0.078306,0.120007696025638,3.390018,0.40392997858021,0.294983684452413,0.282930751130908,0.424159252912426
"Lithoglyphus","naticoides","Lithoglyphidae","F","NHMIC",2.65197,1.368473,-0.204691,0.690066,-0.009154,0.155224255271923,2.736946,0.419812902625163,0.365370745349013,0.343181459622,0.452309560787158
"Lacunopsis","conica","Pomatiopsidae","F","NHMIC",2.725106,1.333237,-0.402003,0.746453,-0.07295,0.159553996488962,2.666474,0.420132435800126,0.375027095707665,0.351145683922781,0.454381197873554
"Potamopyrgus","antipodarum","Tateidae","F","NHMIC",1.66882,2.770636,-0.00479,0.210652,0.043878,0.0815059185453296,5.541272,0.450153705475246,0.180463980111426,0.17759525522915,0.458941982656929
"Potamopyrgus","antipodarum","Tateidae","F","NHMIC",1.613457,2.034962,0.011872,0.122698,-0.008532,0.0761363955744997,4.069924,0.308975111806665,0.245704833800336,0.238607893806742,0.319085820505862
"Coxiella","striata","Tomichiidae","M","NHMIC",1.237817,5.395799,0.028405,0.022677,-0.078063,0.033955602746476,10.791598,0.366224150406428,0.0926646822833838,0.0922693823022795,0.368005094422716
"Kobeltocochlea","martensiana","Benedictiidae","F","NHMIC",2.137924,1.409796,-0.064071,0.412128,-0.082764,0.120931538317418,2.819592,0.338511313581586,0.354661241768313,0.334261285662225,0.36178745043068
"Clessiniola","variabilis","Hydrobiidae","F","NHMIC",1.617994,2.708858,-0.005693,0.189149,0.19479,0.076583307163925,5.417716,0.413695220316146,0.18457962728205,0.181513474964642,0.421915272014065
"Bulinus","globosus","Bulinidae","F","NHMIC",2.234413,1.674631,-0.044623,0.289706,0.012195,0.127957160968967,3.349262,0.425096129288629,0.29857323792525,0.286093395263507,0.447256606015359
"Bulinus","tropicus","Bulinidae","F","NHMIC",2.704159,1.562753,-0.144032,0.340257,-0.30532,0.158325898344968,3.125506,0.488760558642917,0.319948193988429,0.304730968024183,0.51955959504714
"Ampullaceana","balthica","Lymnaeidae","F","NHMIC",2.872159,1.601216,-0.113296,0.290505,-0.073551,0.167918652751648,3.202432,0.530323363641544,0.312262680362924,0.298068608126581,0.563355711314416
"Ampullaceana","balthica","Lymnaeidae","F","NHMIC",3.304256,1.460036,-0.148898,0.279753,0.030189,0.190223791924716,2.920072,0.545682121529498,0.342457309271826,0.323985824755387,0.587136156553568
"Radix","auricularia","Lymnaeidae","F","NHMIC",3.492795,1.111871,-0.13026,0.301591,-0.030146,0.19905544944968,2.223742,0.434130717220298,0.4496924553298,0.410131409126537,0.485345538088904
"Radix","auricularia","Lymnaeidae","F","NHMIC",3.618078,1.160851,-0.10224,0.312257,-0.114122,0.204664176328464,2.321702,0.465519533834145,0.430718498756516,0.395584594677698,0.517371452483416
"Galba","truncatula","Lymnaeidae","F","NHMIC",1.884953,2.099078,-0.129975,0.319092,-0.300173,0.100888777890695,4.198156,0.421407599795979,0.238199819158697,0.231716803011626,0.435396900783383
"Ladislavella","elodes","Lymnaeidae","F","NHMIC",1.813259,2.715984,-0.189542,0.442898,-0.134416,0.0947172094435017,5.431968,0.512208380636212,0.18409534076784,0.181052864327032,0.523146705220947
"Ladislavella","exilis","Lymnaeidae","F","NHMIC",1.802337,4.15346,-0.439459,0.406672,0.314876,0.0937556553451343,8.30692,0.77542016570938,0.120381561397004,0.119518660876993,0.784443656389576
"Lymnaea","stagnalis","Lymnaeidae","F","NHMIC",2.004617,2.406068,-0.123064,0.446542,-0.227162,0.110684785831935,4.812136,0.529397259174161,0.207807925628037,0.203461208901441,0.544009280341748
"Lymnaea","stagnalis","Lymnaeidae","F","NHMIC",2.197401,2.592566,-0.440574,0.359333,-0.070917,0.125298755309385,5.185132,0.644649863323551,0.192859121040699,0.189369508125107,0.661662780613058
"Physella","gyrina","Physidae","F","NHMIC",1.998135,1.817348,-0.242127,0.256268,-0.380506,0.110169318851757,3.634696,0.398023804748915,0.275126172862875,0.265269580678335,0.41531078900957
"Glyptophysa","gibbosa","Planorbidae","F","NHMIC",1.73027,1.780981,-0.075791,0.324421,-0.142,0.0872610688514621,3.561962,0.309643955945815,0.280744151678204,0.270294227718255,0.322837337623133
"Anisus","leucostoma","Planorbidae","F","NHMIC",1.56359,0.629232,0.750314,-0.160914,-0.12763,0.0711397862017355,1.258464,0.0893011743031228,0.794619472626948,0.622123058301562,0.114350023283098
"Anisus","vortex","Planorbidae","F","NHMIC",1.73866,0.469717,0.620737,-0.762461,-0.793245,0.0880309388553346,0.939434,0.0823806707504603,1.0644707345061,0.728833501658434,0.120783332071074
"Gyraulus","acronicus","Planorbidae","F","NHMIC",2.09454,0.145298,0.273605,-0.678662,-0.976458,0.117668654148152,0.290596,0.0339597466007014,3.44120359536952,0.960275895182623,0.122536298930813
"Gyraulus","acronicus","Planorbidae","F","NHMIC",2.70023,0.483779,0.258914,-0.419558,-0.387059,0.158094486475254,0.967558,0.151089087757078,1.03352977289217,0.718668197300349,0.219982583157471
"Gyraulus","trapezoides","Planorbidae","F","NHMIC",3.794996,0.788207,0.11726,0.859619,-0.238371,0.212262298758663,1.576414,0.327320732018354,0.634351128574093,0.535665351310642,0.3962591536662
"Planorbis","planorbis","Planorbidae","F","NHMIC",2.21494,0.935694,0.380919,-0.435286,-0.789171,0.126564039769035,1.871388,0.23497592629006,0.534362729695819,0.471294928841607,0.268545303638459
"Megalovalvata","baicalensis","Valvatidae","F","NHMIC",2.885224,0.621227,0.330317,0.2653,0.009396,0.1686409819421,1.242454,0.206611270046951,0.804858771431377,0.627000291708154,0.268964758345912
