genus,species,family,repo,habitat,W,Traup,D,Delta,Gamma,OneOverLambda,E
Cypraea,tigris,Cypraeidae,UMUT,M,2.486,0.905,-0.294,0.233,-0.183,0.171,0.774
Volva,volva volva,Ovulidae,UMUT,M,1.215,3.080,-0.336,0.026,-0.109,0.146,0.734
Ovula,ovum,Ovulidae,UMUT,M,2.235,0.764,-0.195,-0.020,0.061,0.143,0.786
Erato,voluta,Triviidae,UMUT,M,2.271,1.710,-0.175,0.009,-0.220,0.153,0.794
Cryptonatica,andoi,Naticidae,UMUT,M,2.679,1.160,0.046,0.525,-0.240,0.220,0.809
Euspira,fortunei,Naticidae,SPMN,M,1.929,1.682,-0.079,0.596,-0.179,0.209,0.808
Glossaulax,bicolor,Naticidae,UMUT,M,3.493,0.869,0.044,0.713,-0.485,0.177,0.809
Glossaulax,didyma,Naticidae,SUM,M,3.317,1.047,-0.099,0.812,0.123,0.248,0.807
Glossaulax,vesicalis,Naticidae,SPMN,M,6.108,1.114,-0.116,0.723,-0.169,0.181,0.809
Lunatia,lewisi,Naticidae,SPMN,M,2.529,0.993,-0.096,0.665,0.047,0.198,0.814
Polinices,catena,Naticidae,UMUT,M,2.247,1.312,0.081,0.534,-0.596,0.163,0.809
Polinices,mammilla,Naticidae,SPMN,M,4.291,1.497,-0.095,0.413,-0.237,0.169,0.809
Sinum,javanicum,Naticidae,UMUT,M,6.912,0.979,-0.235,0.792,-0.193,0.191,0.808
Bithynia,tentaculata,Bithyniidae,UMUT,F,1.967,2.010,0.036,0.410,-0.375,0.188,0.809
Parafossarulus,manchouricus,Bithyniidae,UMUT,F,1.521,2.704,0.053,0.690,-0.461,0.171,0.809
Parafossarulus,manchouricus,Bithyniidae,UMUT,F,1.582,3.144,0.031,0.734,-0.185,0.152,0.809
Truncatella,marginata,Truncatellidae,UMUT,L,1.216,6.935,-0.016,0.349,0.162,0.118,0.809
Bufonaria,rana,Bursidae,UMUT,M,1.812,1.625,-0.311,0.228,-0.042,0.154,0.773
Bursa,elegans,Bursidae,SUM,M,1.643,1.942,-0.106,0.220,-0.378,0.168,0.815
Casmaria,ponderosa ponderosa,Cassidae,SPMN,M,2.018,1.945,0.031,0.221,-0.608,0.176,0.809
Casmaria,ponderosa ponderosa,Cassidae,SPMN,M,1.958,1.768,-0.398,0.102,-0.259,0.172,0.739
Cassis,nana,Cassidae,SPMN,M,2.636,0.484,0.036,0.119,-0.843,0.167,0.806
Cassis,vibex,Cassidae,UMUT,M,1.989.,1.838,-0.369,0.181,-0.570,0.173,0.738
Cypraecassis,coarctata,Cassidae,SPMN,M,1.947,0.979,-0.228,0.095,-0.848,0.185,0.773
Cypraecassis,rufa,Cassidae,SPMN,M,1.461,1.899,-0.388,0.118,-0.596,0.151,0.696
Galeodea,rugosa,Cassidae,SPMN,M,2.021,1.177,0.076,0.159,-0.481,0.166,0.816
Galeodea,rugosa,Cassidae,SPMN,M,1.954,1.486,0.009,0.152,-0.548,0.171,0.809
Phalium,flammiferum,Cassidae,SUM,M,1.831,1.319,-0.309,0.247,-0.797,0.182,0.738
Semicassis,bisulcata pila,Cassidae,SUM,M,1.889,1.576,-0.454,0.095,-0.250,0.153,0.716
Semicassis,pyrum,Cassidae,SPMN,M,2.094,1.122,-0.162,0.246,-0.702,0.198,0.796.
Ficus,ventricosa,Ficidae,UMUT,M,3.107,1.057,-0.330,0.030,-0.238,0.168,0.764
Ficus,subintermedia,Ficidae,SUM,M,1.989,1.267,-0.016,0.096,0.015,0.163,0.819
Eudolium,lineatum,Tonnidae,SPMN,M,1.955,1.663,0.166,0.311,-0.490,0.169,0.810.
Malea,pomum,Tonnidae,SPMN,M,2.120,0.525,0.087,0.145,-0.316,0.174,0.809
Tonna,perdix,Tonnidae,UMUT,M,2.694,1.505,-0.314,0.435,-0.342,0.234,0.785
Tonna,luteostoma,Tonnidae,SUM,M,2.251,1.134,-0.371,0.347,-0.457,0.191,0.745
Biplex,perca,Ranellidae,SPMN,M,1.485,3.710,-0.083,0.052,-0.827,0.142,0.789
Charonia,lampas macilenta,Ranellidae,UMUT,M,1.520,2.532,-0.077,0.173,-0.933,0.168,0.790
Charonia,variegate,Ranellidae,SPMN,M,1.522,3.165,-0.362,0.136,-0.515,0.146,0.731
Cymatium,gutturnium,Ranellidae,SPMN,M,1.849,1.334,0.161,0.047,-1.400.,0.140,0.769
Cymatium,parthenopeum,Ranellidae,SUM,M,1.629,2.164.,-0.125,0.241,-1.304,0.171,0.760
Gelagna,succincta,Ranellidae,UMUT,M,1.729,1.813,-0.246,0.395,-0.305,0.178,0.790
Linatella,cingulata,Ranellidae,SPMN,M,1.885,1.548,0.151,0.076,-0.481,0.150,0.810
Distorsio,anus,Personidae,UMUT,M,1.391,1.852,-0.327,-0.002,-0.873,0.153,0.688
Cerithiopsis,emersonii,Cerithiopsidae,UMUT,M,1.102,7.802,-0.320,0.165,-0.971,0.119,0.648
Marshallora,adversa,Triphoridae,UMUT,M,1.112,8.228,-0.067,0.706,-0.505,0.125,0.819
Janthina,janthina,Janthinidae,UMUT,M,3.082,1.183,-0.009,0.588,-0.041,0.233,0.808
Janthina,janthina,Janthinidae,SPMN,M,2.922,1.107,0.084,0.587,-0.282,0.159,0.809
Janthina,umbilicata,Janthinidae,UMUT,M,2.898,1.432,-0.203,0.203,-0.443,0.213,0.797
Cirsotrema,varicosum,Epitoniidae,SPMN,M,1.343,4.316,-0.029,0.367,-0.427,0.145,0.808
Epitonium,scalare,Epitoniidae,UMUT,M,1.624,2.333,0.036,0.228,-0.379,0.158,0.809
Gyroscala,lamellosa,Epitoniidae,UMUT,M,1.463,3.205,-0.087,0.268,-0.227,0.156,0.808
Melanella,major,Eulimidae,UMUT,M,1.213.,5.688,-0.083,0.207,-0.255,0.134,0.818
Scalenostoma,carinata,Eulimidae,UMUT,M,1.168,5.564,0.114.,-0.323,-0.018,0.143,0.810
Acanthina,monodon,Muricidae,UMUT,M,2.857,1.167,-0.056,0.359,-0.564,0.187,0.808
Bolinus,cornutus,Muricidae,SPMN,M,2.564,0.902,-0.091,0.232,-0.712,0.215,0.803
Ceratostoma,burnetti,Muricidae,UMUT,M,1.914,1.595,0.043,0.317,-0.258,0.170,0.809
Chicoreus,banksii,Muricidae,SPMN,M,1.580,2.233,0.337,0.110,-0.436,0.125,0.810
Chicoreus,cornucervi,Muricidae,SPMN,M,1.775,1.810,0.241,0.204,-0.822,0.158,0.809
